# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 235 06/17/2009 Service Pack 2 SJ Web Edition
# File: C:\altera\cores\z80soc\DE1\z80soc.csv
# Generated on: Mon Sep 14 22:50:01 2009

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
GPIO_1[1],Unknown,PIN_H13,4,B4_N1,3.3-V LVTTL,,,,
GPIO_1[2],Unknown,PIN_H14,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[3],Unknown,PIN_G15,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[4],Unknown,PIN_E14,4,B4_N1,3.3-V LVTTL,,,,
GPIO_1[5],Unknown,PIN_E15,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[6],Unknown,PIN_F15,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[7],Unknown,PIN_G16,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[8],Unknown,PIN_F12,4,B4_N1,3.3-V LVTTL,,,,
GPIO_1[9],Unknown,PIN_F13,4,B4_N1,3.3-V LVTTL,,,,
GPIO_1[10],Unknown,PIN_C14,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[11],Unknown,PIN_D14,4,B4_N1,3.3-V LVTTL,,,,
GPIO_1[12],Unknown,PIN_D15,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[13],Unknown,PIN_D16,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[14],Unknown,PIN_C17,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[15],Unknown,PIN_C18,4,B4_N0,3.3-V LVTTL,,,,
GPIO_1[16],Unknown,PIN_C19,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[17],Unknown,PIN_C20,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[18],Unknown,PIN_D19,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[19],Unknown,PIN_D20,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[20],Unknown,PIN_E20,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[21],Unknown,PIN_F20,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[22],Unknown,PIN_E19,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[23],Unknown,PIN_E18,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[24],Unknown,PIN_G20,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[25],Unknown,PIN_G18,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[26],Unknown,PIN_G17,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[27],Unknown,PIN_H17,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[28],Unknown,PIN_J15,5,B5_N1,3.3-V LVTTL,,,,
GPIO_1[29],Unknown,PIN_H18,5,B5_N0,3.3-V LVTTL,,,,
GPIO_1[30],Unknown,PIN_N22,6,B6_N0,3.3-V LVTTL,,,,
GPIO_1[31],Unknown,PIN_N21,6,B6_N0,3.3-V LVTTL,,,,
GPIO_1[32],Unknown,PIN_P15,6,B6_N0,3.3-V LVTTL,,,,
GPIO_1[33],Unknown,PIN_N15,6,B6_N0,3.3-V LVTTL,,,,
GPIO_1[34],Unknown,PIN_P17,6,B6_N0,3.3-V LVTTL,,,,
GPIO_1[35],Unknown,PIN_P18,6,B6_N0,3.3-V LVTTL,,,,
SW[0],Unknown,PIN_L22,5,B5_N1,3.3-V LVTTL,,,,
SW[1],Unknown,PIN_L21,5,B5_N1,3.3-V LVTTL,,,,
SW[2],Unknown,PIN_M22,6,B6_N0,3.3-V LVTTL,,,,
SW[3],Unknown,PIN_V12,7,B7_N1,3.3-V LVTTL,,,,
SW[4],Unknown,PIN_W12,7,B7_N1,3.3-V LVTTL,,,,
SW[5],Unknown,PIN_U12,8,B8_N0,3.3-V LVTTL,,,,
SW[6],Unknown,PIN_U11,8,B8_N0,3.3-V LVTTL,,,,
SW[7],Unknown,PIN_M2,1,B1_N0,3.3-V LVTTL,,,,
SW[8],Unknown,PIN_M1,1,B1_N0,3.3-V LVTTL,,,,
SW[9],Unknown,PIN_L2,2,B2_N1,3.3-V LVTTL,,,,
HEX0[0],Unknown,PIN_J2,2,B2_N1,3.3-V LVTTL,,,,
HEX0[1],Unknown,PIN_J1,2,B2_N1,3.3-V LVTTL,,,,
HEX0[2],Unknown,PIN_H2,2,B2_N1,3.3-V LVTTL,,,,
HEX0[3],Unknown,PIN_H1,2,B2_N1,3.3-V LVTTL,,,,
HEX0[4],Unknown,PIN_F2,2,B2_N1,3.3-V LVTTL,,,,
HEX0[5],Unknown,PIN_F1,2,B2_N1,3.3-V LVTTL,,,,
HEX0[6],Unknown,PIN_E2,2,B2_N1,3.3-V LVTTL,,,,
HEX1[0],Unknown,PIN_E1,2,B2_N1,3.3-V LVTTL,,,,
HEX1[1],Unknown,PIN_H6,2,B2_N0,3.3-V LVTTL,,,,
HEX1[2],Unknown,PIN_H5,2,B2_N0,3.3-V LVTTL,,,,
HEX1[3],Unknown,PIN_H4,2,B2_N0,3.3-V LVTTL,,,,
HEX1[4],Unknown,PIN_G3,2,B2_N0,3.3-V LVTTL,,,,
HEX1[5],Unknown,PIN_D2,2,B2_N0,3.3-V LVTTL,,,,
HEX1[6],Unknown,PIN_D1,2,B2_N0,3.3-V LVTTL,,,,
HEX2[0],Unknown,PIN_G5,2,B2_N0,3.3-V LVTTL,,,,
HEX2[1],Unknown,PIN_G6,2,B2_N0,3.3-V LVTTL,,,,
HEX2[2],Unknown,PIN_C2,2,B2_N0,3.3-V LVTTL,,,,
HEX2[3],Unknown,PIN_C1,2,B2_N0,3.3-V LVTTL,,,,
HEX2[4],Unknown,PIN_E3,2,B2_N0,3.3-V LVTTL,,,,
HEX2[5],Unknown,PIN_E4,2,B2_N0,3.3-V LVTTL,,,,
HEX2[6],Unknown,PIN_D3,2,B2_N0,3.3-V LVTTL,,,,
HEX3[0],Unknown,PIN_F4,2,B2_N0,3.3-V LVTTL,,,,
HEX3[1],Unknown,PIN_D5,2,B2_N0,3.3-V LVTTL,,,,
HEX3[2],Unknown,PIN_D6,2,B2_N0,3.3-V LVTTL,,,,
HEX3[3],Unknown,PIN_J4,2,B2_N1,3.3-V LVTTL,,,,
HEX3[4],Unknown,PIN_L8,2,B2_N1,3.3-V LVTTL,,,,
HEX3[5],Unknown,PIN_F3,2,B2_N0,3.3-V LVTTL,,,,
HEX3[6],Unknown,PIN_D4,2,B2_N0,3.3-V LVTTL,,,,
KEY[0],Unknown,PIN_R22,6,B6_N0,3.3-V LVTTL,,,,
KEY[1],Unknown,PIN_R21,6,B6_N0,3.3-V LVTTL,,,,
KEY[2],Unknown,PIN_T22,6,B6_N0,3.3-V LVTTL,,,,
KEY[3],Unknown,PIN_T21,6,B6_N0,3.3-V LVTTL,,,,
LEDR[0],Unknown,PIN_R20,6,B6_N0,3.3-V LVTTL,,,,
LEDR[1],Unknown,PIN_R19,6,B6_N0,3.3-V LVTTL,,,,
LEDR[2],Unknown,PIN_U19,6,B6_N1,3.3-V LVTTL,,,,
LEDR[3],Unknown,PIN_Y19,6,B6_N1,3.3-V LVTTL,,,,
LEDR[4],Unknown,PIN_T18,6,B6_N1,3.3-V LVTTL,,,,
LEDR[5],Unknown,PIN_V19,6,B6_N1,3.3-V LVTTL,,,,
LEDR[6],Unknown,PIN_Y18,6,B6_N1,3.3-V LVTTL,,,,
LEDR[7],Unknown,PIN_U18,6,B6_N1,3.3-V LVTTL,,,,
LEDR[8],Unknown,PIN_R18,6,B6_N0,3.3-V LVTTL,,,,
LEDR[9],Unknown,PIN_R17,6,B6_N1,3.3-V LVTTL,,,,
LEDG[0],Unknown,PIN_U22,6,B6_N1,3.3-V LVTTL,,,,
LEDG[1],Unknown,PIN_U21,6,B6_N1,3.3-V LVTTL,,,,
LEDG[2],Unknown,PIN_V22,6,B6_N1,3.3-V LVTTL,,,,
LEDG[3],Unknown,PIN_V21,6,B6_N1,3.3-V LVTTL,,,,
LEDG[4],Unknown,PIN_W22,6,B6_N1,3.3-V LVTTL,,,,
LEDG[5],Unknown,PIN_W21,6,B6_N1,3.3-V LVTTL,,,,
LEDG[6],Unknown,PIN_Y22,6,B6_N1,3.3-V LVTTL,,,,
LEDG[7],Unknown,PIN_Y21,6,B6_N1,3.3-V LVTTL,,,,
CLOCK_27[0],Unknown,PIN_D12,3,B3_N0,,,,,
CLOCK_27[1],Unknown,PIN_E12,3,B3_N0,3.3-V LVTTL,,,,
CLOCK_24[0],Unknown,PIN_B12,4,B4_N1,3.3-V LVTTL,,,,
CLOCK_24[1],Unknown,PIN_A12,4,B4_N1,3.3-V LVTTL,,,,
CLOCK_50,Unknown,PIN_L1,2,B2_N1,3.3-V LVTTL,,,,
EXT_CLOCK,Unknown,PIN_M21,6,B6_N0,3.3-V LVTTL,,,,
PS2_CLK,Unknown,PIN_H15,4,B4_N0,3.3-V LVTTL,,,,
PS2_DAT,Unknown,PIN_J14,4,B4_N0,3.3-V LVTTL,,,,
UART_RXD,Unknown,PIN_F14,4,B4_N1,3.3-V LVTTL,,,,
UART_TXD,Unknown,PIN_G12,4,B4_N1,3.3-V LVTTL,,,,
TDI,Unknown,PIN_E8,3,B3_N1,3.3-V LVTTL,,,,
TCS,Unknown,PIN_D8,3,B3_N1,3.3-V LVTTL,,,,
TCK,Unknown,PIN_C7,3,B3_N1,3.3-V LVTTL,,,,
TDO,Unknown,PIN_D7,3,B3_N1,3.3-V LVTTL,,,,
VGA_R[0],Unknown,PIN_D9,3,B3_N0,3.3-V LVTTL,,,,
VGA_R[1],Unknown,PIN_C9,3,B3_N1,3.3-V LVTTL,,,,
VGA_R[2],Unknown,PIN_A7,3,B3_N1,3.3-V LVTTL,,,,
VGA_R[3],Unknown,PIN_B7,3,B3_N1,3.3-V LVTTL,,,,
VGA_G[0],Unknown,PIN_B8,3,B3_N0,3.3-V LVTTL,,,,
VGA_G[1],Unknown,PIN_C10,3,B3_N0,3.3-V LVTTL,,,,
VGA_G[2],Unknown,PIN_B9,3,B3_N0,3.3-V LVTTL,,,,
VGA_G[3],Unknown,PIN_A8,3,B3_N0,3.3-V LVTTL,,,,
VGA_B[0],Unknown,PIN_A9,3,B3_N0,3.3-V LVTTL,,,,
VGA_B[1],Unknown,PIN_D11,3,B3_N0,3.3-V LVTTL,,,,
VGA_B[2],Unknown,PIN_A10,3,B3_N0,3.3-V LVTTL,,,,
VGA_B[3],Unknown,PIN_B10,3,B3_N0,3.3-V LVTTL,,,,
VGA_HS,Unknown,PIN_A11,3,B3_N0,3.3-V LVTTL,,,,
VGA_VS,Unknown,PIN_B11,3,B3_N0,3.3-V LVTTL,,,,
I2C_SCLK,Unknown,PIN_A3,3,B3_N1,3.3-V LVTTL,,,,
I2C_SDAT,Unknown,PIN_B3,3,B3_N1,3.3-V LVTTL,,,,
AUD_ADCLRCK,Unknown,PIN_A6,3,B3_N1,3.3-V LVTTL,,,,
AUD_ADCDAT,Unknown,PIN_B6,3,B3_N1,3.3-V LVTTL,,,,
AUD_DACLRCK,Unknown,PIN_A5,3,B3_N1,3.3-V LVTTL,,,,
AUD_DACDAT,Unknown,PIN_B5,3,B3_N1,3.3-V LVTTL,,,,
AUD_XCK,Unknown,PIN_B4,3,B3_N1,3.3-V LVTTL,,,,
AUD_BCLK,Unknown,PIN_A4,3,B3_N1,3.3-V LVTTL,,,,
DRAM_ADDR[0],Unknown,PIN_W4,1,B1_N1,,,,,
DRAM_ADDR[1],Unknown,PIN_W5,1,B1_N1,,,,,
DRAM_ADDR[2],Unknown,PIN_Y3,1,B1_N1,,,,,
DRAM_ADDR[3],Unknown,PIN_Y4,1,B1_N1,,,,,
DRAM_ADDR[4],Unknown,PIN_R6,1,B1_N1,,,,,
DRAM_ADDR[5],Unknown,PIN_R5,1,B1_N1,,,,,
DRAM_ADDR[6],Unknown,PIN_P6,1,B1_N0,,,,,
DRAM_ADDR[7],Unknown,PIN_P5,1,B1_N0,,,,,
DRAM_ADDR[8],Unknown,PIN_P3,1,B1_N0,,,,,
DRAM_ADDR[9],Unknown,PIN_N4,1,B1_N0,,,,,
DRAM_ADDR[10],Unknown,PIN_W3,1,B1_N1,,,,,
DRAM_ADDR[11],Unknown,PIN_N6,1,B1_N0,,,,,
DRAM_BA_0,Unknown,PIN_U3,1,B1_N1,,,,,
DRAM_BA_1,Unknown,PIN_V4,1,B1_N1,,,,,
DRAM_CAS_N,Unknown,PIN_T3,1,B1_N1,,,,,
DRAM_CKE,Unknown,PIN_N3,1,B1_N0,,,,,
DRAM_CLK,Unknown,PIN_U4,1,B1_N1,,,,,
DRAM_CS_N,Unknown,PIN_T6,1,B1_N1,,,,,
DRAM_DQ[0],Unknown,PIN_U1,1,B1_N1,,,,,
DRAM_DQ[1],Unknown,PIN_U2,1,B1_N1,,,,,
DRAM_DQ[2],Unknown,PIN_V1,1,B1_N1,,,,,
DRAM_DQ[3],Unknown,PIN_V2,1,B1_N1,,,,,
DRAM_DQ[4],Unknown,PIN_W1,1,B1_N1,,,,,
DRAM_DQ[5],Unknown,PIN_W2,1,B1_N1,,,,,
DRAM_DQ[6],Unknown,PIN_Y1,1,B1_N1,,,,,
DRAM_DQ[7],Unknown,PIN_Y2,1,B1_N1,,,,,
DRAM_DQ[8],Unknown,PIN_N1,1,B1_N0,,,,,
DRAM_DQ[9],Unknown,PIN_N2,1,B1_N0,,,,,
DRAM_DQ[10],Unknown,PIN_P1,1,B1_N0,,,,,
DRAM_DQ[11],Unknown,PIN_P2,1,B1_N0,,,,,
DRAM_DQ[12],Unknown,PIN_R1,1,B1_N0,,,,,
DRAM_DQ[13],Unknown,PIN_R2,1,B1_N0,,,,,
DRAM_DQ[14],Unknown,PIN_T1,1,B1_N0,,,,,
DRAM_DQ[15],Unknown,PIN_T2,1,B1_N0,,,,,
DRAM_LDQM,Unknown,PIN_R7,1,B1_N0,,,,,
DRAM_RAS_N,Unknown,PIN_T5,1,B1_N1,,,,,
DRAM_UDQM,Unknown,PIN_M5,1,B1_N0,,,,,
DRAM_WE_N,Unknown,PIN_R8,1,B1_N0,,,,,
FL_ADDR[0],Unknown,PIN_AB20,7,B7_N0,,,,,
FL_ADDR[1],Unknown,PIN_AA14,7,B7_N1,,,,,
FL_ADDR[2],Unknown,PIN_Y16,7,B7_N0,,,,,
FL_ADDR[3],Unknown,PIN_R15,7,B7_N0,,,,,
FL_ADDR[4],Unknown,PIN_T15,7,B7_N0,,,,,
FL_ADDR[5],Unknown,PIN_U15,7,B7_N0,,,,,
FL_ADDR[6],Unknown,PIN_V15,7,B7_N0,,,,,
FL_ADDR[7],Unknown,PIN_W15,7,B7_N0,,,,,
FL_ADDR[8],Unknown,PIN_R14,7,B7_N0,,,,,
FL_ADDR[9],Unknown,PIN_Y13,7,B7_N1,,,,,
FL_ADDR[10],Unknown,PIN_R12,7,B7_N1,,,,,
FL_ADDR[11],Unknown,PIN_T12,7,B7_N1,,,,,
FL_ADDR[12],Unknown,PIN_AB14,7,B7_N1,,,,,
FL_ADDR[13],Unknown,PIN_AA13,7,B7_N1,,,,,
FL_ADDR[14],Unknown,PIN_AB13,7,B7_N1,,,,,
FL_ADDR[15],Unknown,PIN_AA12,7,B7_N1,,,,,
FL_ADDR[16],Unknown,PIN_AB12,7,B7_N1,,,,,
FL_ADDR[17],Unknown,PIN_AA20,7,B7_N0,,,,,
FL_ADDR[18],Unknown,PIN_U14,7,B7_N0,,,,,
FL_ADDR[19],Unknown,PIN_V14,7,B7_N1,,,,,
FL_ADDR[20],Unknown,PIN_U13,7,B7_N1,,,,,
FL_ADDR[21],Unknown,PIN_R13,7,B7_N0,,,,,
FL_DQ[0],Unknown,PIN_AB16,7,B7_N1,,,,,
FL_DQ[1],Unknown,PIN_AA16,7,B7_N1,,,,,
FL_DQ[2],Unknown,PIN_AB17,7,B7_N1,,,,,
FL_DQ[3],Unknown,PIN_AA17,7,B7_N1,,,,,
FL_DQ[4],Unknown,PIN_AB18,7,B7_N0,,,,,
FL_DQ[5],Unknown,PIN_AA18,7,B7_N0,,,,,
FL_DQ[6],Unknown,PIN_AB19,7,B7_N0,,,,,
FL_DQ[7],Unknown,PIN_AA19,7,B7_N0,,,,,
FL_OE_N,Unknown,PIN_AA15,7,B7_N1,,,,,
FL_RST_N,Unknown,PIN_W14,7,B7_N1,,,,,
FL_WE_N,Unknown,PIN_Y14,7,B7_N0,,,,,
SRAM_ADDR[0],Unknown,PIN_AA3,8,B8_N1,,,,,
SRAM_ADDR[1],Unknown,PIN_AB3,8,B8_N1,,,,,
SRAM_ADDR[2],Unknown,PIN_AA4,8,B8_N1,,,,,
SRAM_ADDR[3],Unknown,PIN_AB4,8,B8_N1,,,,,
SRAM_ADDR[4],Unknown,PIN_AA5,8,B8_N1,,,,,
SRAM_ADDR[5],Unknown,PIN_AB10,8,B8_N0,,,,,
SRAM_ADDR[6],Unknown,PIN_AA11,8,B8_N0,,,,,
SRAM_ADDR[7],Unknown,PIN_AB11,8,B8_N0,,,,,
SRAM_ADDR[8],Unknown,PIN_V11,8,B8_N0,,,,,
SRAM_ADDR[9],Unknown,PIN_W11,8,B8_N0,,,,,
SRAM_ADDR[10],Unknown,PIN_R11,8,B8_N0,,,,,
SRAM_ADDR[11],Unknown,PIN_T11,8,B8_N0,,,,,
SRAM_ADDR[12],Unknown,PIN_Y10,8,B8_N0,,,,,
SRAM_ADDR[13],Unknown,PIN_U10,8,B8_N0,,,,,
SRAM_ADDR[14],Unknown,PIN_R10,8,B8_N0,,,,,
SRAM_ADDR[15],Unknown,PIN_T7,8,B8_N1,,,,,
SRAM_ADDR[16],Unknown,PIN_Y6,8,B8_N1,,,,,
SRAM_ADDR[17],Unknown,PIN_Y5,8,B8_N1,,,,,
SRAM_CE_N,Unknown,PIN_AB5,8,B8_N1,,,,,
SRAM_DQ[0],Unknown,PIN_AA6,8,B8_N1,,,,,
SRAM_DQ[1],Unknown,PIN_AB6,8,B8_N1,,,,,
SRAM_DQ[2],Unknown,PIN_AA7,8,B8_N1,,,,,
SRAM_DQ[3],Unknown,PIN_AB7,8,B8_N1,,,,,
SRAM_DQ[4],Unknown,PIN_AA8,8,B8_N0,,,,,
SRAM_DQ[5],Unknown,PIN_AB8,8,B8_N0,,,,,
SRAM_DQ[6],Unknown,PIN_AA9,8,B8_N0,,,,,
SRAM_DQ[7],Unknown,PIN_AB9,8,B8_N0,,,,,
SRAM_DQ[8],Unknown,PIN_Y9,8,B8_N0,,,,,
SRAM_DQ[9],Unknown,PIN_W9,8,B8_N0,,,,,
SRAM_DQ[10],Unknown,PIN_V9,8,B8_N1,,,,,
SRAM_DQ[11],Unknown,PIN_U9,8,B8_N0,,,,,
SRAM_DQ[12],Unknown,PIN_R9,8,B8_N0,,,,,
SRAM_DQ[13],Unknown,PIN_W8,8,B8_N1,,,,,
SRAM_DQ[14],Unknown,PIN_V8,8,B8_N1,,,,,
SRAM_DQ[15],Unknown,PIN_U8,8,B8_N1,,,,,
SRAM_LB_N,Unknown,PIN_Y7,8,B8_N1,,,,,
SRAM_OE_N,Unknown,PIN_T8,8,B8_N1,,,,,
SRAM_UB_N,Unknown,PIN_W7,8,B8_N1,,,,,
SRAM_WE_N,Unknown,PIN_AA10,8,B8_N0,,,,,
,Unknown,PIN_F5,,,,,,,
,Unknown,PIN_E5,,,,,,,
,Unknown,PIN_F6,,,,,,,
,Unknown,PIN_C4,2,B2_N0,,,,,
,Unknown,PIN_C3,2,B2_N0,,,,,
,Unknown,PIN_H3,2,B2_N1,,,,,
,Unknown,PIN_K5,2,B2_N1,,,,,
,Unknown,PIN_K2,2,B2_N1,,,,,
,Unknown,PIN_K6,2,B2_N1,,,,,
,Unknown,PIN_L5,2,B2_N1,,,,,
,Unknown,PIN_L6,2,B2_N1,,,,,
,Unknown,PIN_K4,2,B2_N1,,,,,
,Unknown,PIN_K1,2,B2_N1,,,,,
,Unknown,PIN_L4,2,B2_N1,,,,,
,Unknown,PIN_M6,1,B1_N0,,,,,
,Unknown,PIN_U5,,,,,,,
,Unknown,PIN_U6,,,,,,,
,Unknown,PIN_V5,,,,,,,
,Unknown,PIN_U7,,,,,,,
,Unknown,PIN_V7,,,,,,,
,Unknown,PIN_P9,8,B8_N1,,,,,
,Unknown,PIN_P8,8,B8_N1,,,,,
,Unknown,PIN_AB15,7,B7_N1,,,,,
,Unknown,PIN_R16,7,B7_N0,,,,,
,Unknown,PIN_T16,7,B7_N0,,,,,
,Unknown,PIN_Y17,7,B7_N0,,,,,
,Unknown,PIN_W16,7,B7_N0,,,,,
,Unknown,PIN_V16,,,,,,,
,Unknown,PIN_U16,,,,,,,
,Unknown,PIN_V18,,,,,,,
,Unknown,PIN_U17,,,,,,,
,Unknown,PIN_T17,,,,,,,
,Unknown,PIN_W20,6,B6_N1,,,,,
,Unknown,PIN_Y20,6,B6_N1,,,,,
,Unknown,PIN_V20,6,B6_N1,,,,,
,Unknown,PIN_U20,6,B6_N1,,,,,
,Unknown,PIN_N20,6,B6_N0,,,,,
,Unknown,PIN_N18,6,B6_N0,,,,,
,Unknown,PIN_N17,6,B6_N0,,,,,
,Unknown,PIN_M17,6,B6_N0,,,,,
,Unknown,PIN_M19,6,B6_N0,,,,,
,Unknown,PIN_M18,6,B6_N0,,,,,
,Unknown,PIN_H19,5,B5_N1,,,,,
,Unknown,PIN_J17,5,B5_N1,,,,,
,Unknown,PIN_H16,5,B5_N1,,,,,
,Unknown,PIN_F18,,,,,,,
,Unknown,PIN_F17,,,,,,,
,Unknown,PIN_E17,,,,,,,
,Unknown,PIN_F16,,,,,,,
,Unknown,PIN_E16,,,,,,,
,Unknown,PIN_C16,4,B4_N0,,,,,
,Unknown,PIN_C13,4,B4_N1,,,,,
,Unknown,PIN_E11,3,B3_N0,,,,,
,Unknown,PIN_H11,3,B3_N0,,,,,
,Unknown,PIN_G11,3,B3_N0,,,,,
,Unknown,PIN_F11,3,B3_N0,,,,,
,Unknown,PIN_F10,3,B3_N0,,,,,
,Unknown,PIN_H10,3,B3_N0,,,,,
,Unknown,PIN_H9,3,B3_N0,,,,,
,Unknown,PIN_E9,3,B3_N0,,,,,
,Unknown,PIN_F9,3,B3_N1,,,,,
,Unknown,PIN_F8,3,B3_N1,,,,,
,Unknown,PIN_G8,3,B3_N1,,,,,
,Unknown,PIN_H8,3,B3_N1,,,,,
,Unknown,PIN_E7,3,B3_N1,,,,,
,Unknown,PIN_G7,3,B3_N1,,,,,
,Unknown,PIN_H7,3,B3_N1,,,,,
,Unknown,PIN_F7,,,,,,,
,Unknown,PIN_E6,,,,,,,
,Unknown,PIN_J10,,,,,,,
,Unknown,PIN_J11,,,,,,,
,Unknown,PIN_J12,,,,,,,
,Unknown,PIN_J13,,,,,,,
,Unknown,PIN_K9,,,,,,,
,Unknown,PIN_K14,,,,,,,
,Unknown,PIN_L9,,,,,,,
,Unknown,PIN_L14,,,,,,,
,Unknown,PIN_M9,,,,,,,
,Unknown,PIN_M14,,,,,,,
,Unknown,PIN_N9,,,,,,,
,Unknown,PIN_N14,,,,,,,
,Unknown,PIN_P10,,,,,,,
